id;order_initiator;side_combo;quantity;order_type;good_till;trading_instruction
1;portal input;synthesize holistic payment;Convertible Marks Danish Krone;upward-trending connect;Keys Buckinghamshire;Orchestrator virtual
2;HDD;Lek RSS;integrate synergize;Legacy Rial Omani;Slovenia Creek;hack Cotton
3;Factors Finland;Small Soft Salad Cotton;olive web-enabled neutral;SDD Minnesota;Bedfordshire;Bedfordshire
4;Gorgeous Regional;Brand;Indian Rupee Ngultrum solid state;Handcrafted Fresh Salad Health RSS;channels;Personal Loan Account application
5;connecting Games TCP;Pennsylvania Uruguay;virtual intuitive;multi-state Libyan Dinar;quantifying solid state bypassing;Table
6;Specialist;Director ADP Ball;Executive hacking;GB primary;Response;Concrete
7;Architect product;red;France Money Market Account Corporate;back up;Assistant orchid SDR;Utah gold
8;XML;quantifying Mexico Belarus;Group monetize software;Money Market Account 24/7 Networked;Tasty;bandwidth North Carolina virtual
9;Outdoors Future;schemas deposit Table;Rubber;intermediate Home Loan Account;Product;Designer
10;Argentina Senegal;Programmable dot-com mobile;calculating;encryption input;Berkshire standardization West Virginia;redefine
